item_name,item_price,item_disc,item_rating,items_left
Campo Viejo Campo Viejo Reserva Red Wine - 750 ML,"KSh 1,599",23%,4.7 out of 5,93 items left
Huggies Unisex Pants Gold Size 3 Count 36,KSh 859,30%,5 out of 5,159 items left
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),KSh 912,38%,4.7 out of 5,1676 items left
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,KSh 887,43%,4.5 out of 5,2409 items left
Menengai Menengai Cream Bar Soap – 500g,KSh 86,38%,4.1 out of 5,216 items left
"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,48h - 50ml (Pack Of 2)",KSh 651,37%,4.6 out of 5,383 items left
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox,"KSh 26,999",25%,4.7 out of 5,39 items left
Jogoo Jogoo Maize Meal - 2Kg,KSh 148,18%,4.4 out of 5,45 items left
NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 800,39%,4.7 out of 5,193 items left
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 651,37%,4.6 out of 5,1414 items left
SIFA Tissue Paper 10's Unwrapped,KSh 244,37%,4.4 out of 5,125 items left
NIVEA Lemongrass & Oil Shower Gel For Women - 250ml (Pack Of 2),KSh 675,43%,4.6 out of 5,503 items left
Annov 7-Speed Portable Hand Mixer  With Bowl,KSh 929,28%,4.1 out of 5,1253 items left
"NIVEA Pearl & Beauty Black Pearl Fine Fragrance Anti-Perspirant Roll-On, 48h - 50ml (Pack Of 2)",KSh 780,27%,4.7 out of 5,86 items left
Annov Dry Iron -  White,KSh 749,18%,4.1 out of 5,590 items left
Premier PM-90 Single Door Fridge – 90L,"KSh 17,999",8%,3.4 out of 5,32 items left
Master Chef Premium Vegetable Cooking Oil - 5 Litres,"KSh 1,149",30%,4.6 out of 5,182 items left
NIVEA Q10 Power Anti-Wrinkle Day Cream 50ml & Night Cream 50ml,"KSh 2,182",43%,4.6 out of 5,63 items left
Neptune Neptune Blended Toilet Paper 4 Pack White,KSh 103,29%,4.5 out of 5,35 items left
Kifaru Rhino Kubwa Matchsticks 60s x 10 x 10,KSh 258,30%,5 out of 5,223 items left
Nexus NX IR-DS Electric Dry And Spray Iron Box - Blue,KSh 880,4%,4.8 out of 5,190 items left
Exe Exe Self Raising 2Kg,KSh 197,8%,4.6 out of 5,103 items left
